FL_DATE,OP_CARRIER,FLL,CRS_DEP_TIME,DEP_TIME,DEP_DELAY,ARR_TIME,ARR_DELAY,ACTUAL_ELAPSED_TIME,DISTANCE
1/1/2018,B6,RSW,1504,1458,-6,2259,-18,301,2465
1/1/2018,B6,ORD,655,650,-5,817,-17,87,395
1/1/2018,B6,LAX,1338,1407,29,2227,22,320,2586
1/1/2018,B6,DFW,705,714,9,858,40,104,187
1/1/2018,B6,BDL,1405,1509,64,1905,93,236,1197
1/1/2018,B6,IAH,1811,1954,103,2239,87,165,1197
1/1/2018,B6,IAH,1235,1239,4,1544,-6,365,2475
1/1/2018,B6,TPA,1315,1315,0,2134,1,319,2475
1/1/2018,B6,BWI,652,653,1,1019,27,206,1005
1/1/2018,B6,FLL,1725,1737,12,2026,14,349,2269
1/1/2018,B6,DTW,2107,2119,12,448,-2,269,2269
1/1/2018,B6,LGA,1910,1905,-5,1942,-21,97,588
1/1/2018,B6,IAH,1545,1539,-6,1812,-16,93,588
1/1/2018,B6,SAN,1410,1426,16,1808,44,222,1111
1/1/2018,B6,MCO,1422,1428,6,2304,12,336,2704
1/1/2018,B6,LBE,1945,1945,0,2258,-2,193,1118
1/1/2018,B6,LAX,1605,1600,-5,1859,-7,179,1118
